Month,Agency,Contact Type,Total
01/01/2019,NYCT Subway/SIR,Physical Contact,15
01/01/2019,NYCT Subway/SIR,Non Physical Contact,46
01/01/2019,NYCT Bus/MTA Bus,Physical Contact,21
01/01/2019,NYCT Bus/MTA Bus,Non Physical Contact,90
01/01/2019,NYCT Other,Physical Contact,1
01/01/2019,NYCT Other,Non Physical Contact,1
02/01/2019,NYCT Subway/SIR,Physical Contact,13
02/01/2019,NYCT Subway/SIR,Non Physical Contact,33
02/01/2019,NYCT Bus/MTA Bus,Physical Contact,22
02/01/2019,NYCT Bus/MTA Bus,Non Physical Contact,111
02/01/2019,NYCT Other,Physical Contact,6
02/01/2019,NYCT Other,Non Physical Contact,2
03/01/2019,NYCT Subway/SIR,Physical Contact,24
03/01/2019,NYCT Subway/SIR,Non Physical Contact,44
03/01/2019,NYCT Bus/MTA Bus,Physical Contact,21
03/01/2019,NYCT Bus/MTA Bus,Non Physical Contact,95
03/01/2019,NYCT Other,Physical Contact,2
03/01/2019,NYCT Other,Non Physical Contact,2
04/01/2019,NYCT Subway/SIR,Physical Contact,16
04/01/2019,NYCT Subway/SIR,Non Physical Contact,49
04/01/2019,NYCT Bus/MTA Bus,Physical Contact,35
04/01/2019,NYCT Bus/MTA Bus,Non Physical Contact,112
04/01/2019,NYCT Other,Physical Contact,4
04/01/2019,NYCT Other,Non Physical Contact,1
05/01/2019,NYCT Subway/SIR,Physical Contact,18
05/01/2019,NYCT Subway/SIR,Non Physical Contact,43
05/01/2019,NYCT Bus/MTA Bus,Physical Contact,33
05/01/2019,NYCT Bus/MTA Bus,Non Physical Contact,94
05/01/2019,NYCT Other,Physical Contact,1
05/01/2019,NYCT Other,Non Physical Contact,0
06/01/2019,NYCT Subway/SIR,Physical Contact,18
06/01/2019,NYCT Subway/SIR,Non Physical Contact,39
06/01/2019,NYCT Bus/MTA Bus,Physical Contact,24
06/01/2019,NYCT Bus/MTA Bus,Non Physical Contact,128
06/01/2019,NYCT Other,Physical Contact,3
06/01/2019,NYCT Other,Non Physical Contact,3
07/01/2019,NYCT Subway/SIR,Physical Contact,14
07/01/2019,NYCT Subway/SIR,Non Physical Contact,48
07/01/2019,NYCT Bus/MTA Bus,Physical Contact,41
07/01/2019,NYCT Bus/MTA Bus,Non Physical Contact,105
07/01/2019,NYCT Other,Physical Contact,4
07/01/2019,NYCT Other,Non Physical Contact,3
08/01/2019,NYCT Subway/SIR,Physical Contact,16
08/01/2019,NYCT Subway/SIR,Non Physical Contact,49
08/01/2019,NYCT Bus/MTA Bus,Physical Contact,30
08/01/2019,NYCT Bus/MTA Bus,Non Physical Contact,97
08/01/2019,NYCT Other,Physical Contact,8
08/01/2019,NYCT Other,Non Physical Contact,0
09/01/2019,NYCT Subway/SIR,Physical Contact,17
09/01/2019,NYCT Subway/SIR,Non Physical Contact,37
09/01/2019,NYCT Bus/MTA Bus,Physical Contact,27
09/01/2019,NYCT Bus/MTA Bus,Non Physical Contact,112
09/01/2019,NYCT Other,Physical Contact,6
09/01/2019,NYCT Other,Non Physical Contact,3
10/01/2019,NYCT Subway/SIR,Physical Contact,21
10/01/2019,NYCT Subway/SIR,Non Physical Contact,58
10/01/2019,NYCT Bus/MTA Bus,Physical Contact,34
10/01/2019,NYCT Bus/MTA Bus,Non Physical Contact,120
10/01/2019,NYCT Other,Physical Contact,1
10/01/2019,NYCT Other,Non Physical Contact,4
11/01/2019,NYCT Subway/SIR,Physical Contact,21
11/01/2019,NYCT Subway/SIR,Non Physical Contact,49
11/01/2019,NYCT Bus/MTA Bus,Physical Contact,29
11/01/2019,NYCT Bus/MTA Bus,Non Physical Contact,114
11/01/2019,NYCT Other,Physical Contact,2
11/01/2019,NYCT Other,Non Physical Contact,0
12/01/2019,NYCT Subway/SIR,Physical Contact,25
12/01/2019,NYCT Subway/SIR,Non Physical Contact,63
12/01/2019,NYCT Bus/MTA Bus,Physical Contact,25
12/01/2019,NYCT Bus/MTA Bus,Non Physical Contact,93
12/01/2019,NYCT Other,Physical Contact,5
12/01/2019,NYCT Other,Non Physical Contact,1
01/01/2020,NYCT Subway/SIR,Physical Contact,18
01/01/2020,NYCT Subway/SIR,Non Physical Contact,52
01/01/2020,NYCT Bus/MTA Bus,Physical Contact,37
01/01/2020,NYCT Bus/MTA Bus,Non Physical Contact,110
01/01/2020,NYCT Other,Physical Contact,2
01/01/2020,NYCT Other,Non Physical Contact,3
01/01/2020,B&T,Physical Contact,0
01/01/2020,B&T,Non Physical Contact,1
02/01/2020,NYCT Subway/SIR,Physical Contact,15
02/01/2020,NYCT Subway/SIR,Non Physical Contact,46
02/01/2020,NYCT Bus/MTA Bus,Physical Contact,24
02/01/2020,NYCT Bus/MTA Bus,Non Physical Contact,76
02/01/2020,NYCT Other,Physical Contact,1
02/01/2020,NYCT Other,Non Physical Contact,5
02/01/2020,B&T,Physical Contact,0
02/01/2020,B&T,Non Physical Contact,1
03/01/2020,NYCT Subway/SIR,Physical Contact,30
03/01/2020,NYCT Subway/SIR,Non Physical Contact,53
03/01/2020,NYCT Bus/MTA Bus,Physical Contact,30
03/01/2020,NYCT Bus/MTA Bus,Non Physical Contact,108
03/01/2020,NYCT Other,Physical Contact,4
03/01/2020,NYCT Other,Non Physical Contact,2
03/01/2020,B&T,Physical Contact,0
03/01/2020,B&T,Non Physical Contact,0
04/01/2020,NYCT Subway/SIR,Physical Contact,9
04/01/2020,NYCT Subway/SIR,Non Physical Contact,44
04/01/2020,NYCT Bus/MTA Bus,Physical Contact,9
04/01/2020,NYCT Bus/MTA Bus,Non Physical Contact,95
04/01/2020,NYCT Other,Physical Contact,1
04/01/2020,NYCT Other,Non Physical Contact,1
04/01/2020,B&T,Physical Contact,0
04/01/2020,B&T,Non Physical Contact,0
05/01/2020,NYCT Subway/SIR,Physical Contact,24
05/01/2020,NYCT Subway/SIR,Non Physical Contact,49
05/01/2020,NYCT Bus/MTA Bus,Physical Contact,17
05/01/2020,NYCT Bus/MTA Bus,Non Physical Contact,121
05/01/2020,NYCT Other,Physical Contact,2
05/01/2020,NYCT Other,Non Physical Contact,1
05/01/2020,B&T,Physical Contact,0
05/01/2020,B&T,Non Physical Contact,2
06/01/2020,NYCT Subway/SIR,Physical Contact,19
06/01/2020,NYCT Subway/SIR,Non Physical Contact,57
06/01/2020,NYCT Bus/MTA Bus,Physical Contact,20
06/01/2020,NYCT Bus/MTA Bus,Non Physical Contact,131
06/01/2020,NYCT Other,Physical Contact,2
06/01/2020,NYCT Other,Non Physical Contact,4
06/01/2020,B&T,Physical Contact,0
06/01/2020,B&T,Non Physical Contact,0
07/01/2020,NYCT Subway/SIR,Physical Contact,17
07/01/2020,NYCT Subway/SIR,Non Physical Contact,44
07/01/2020,NYCT Bus/MTA Bus,Physical Contact,26
07/01/2020,NYCT Bus/MTA Bus,Non Physical Contact,141
07/01/2020,NYCT Other,Physical Contact,2
07/01/2020,NYCT Other,Non Physical Contact,5
07/01/2020,B&T,Physical Contact,0
07/01/2020,B&T,Non Physical Contact,0
08/01/2020,NYCT Subway/SIR,Physical Contact,22
08/01/2020,NYCT Subway/SIR,Non Physical Contact,39
08/01/2020,NYCT Bus/MTA Bus,Physical Contact,18
08/01/2020,NYCT Bus/MTA Bus,Non Physical Contact,118
08/01/2020,NYCT Other,Physical Contact,1
08/01/2020,NYCT Other,Non Physical Contact,1
08/01/2020,B&T,Physical Contact,0
08/01/2020,B&T,Non Physical Contact,1
09/01/2020,NYCT Subway/SIR,Physical Contact,14
